Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
"001";"Produto";"teste1";5.00;10.00;0.00;0.00;"Unidade";"Não";"ACESSORIOS";"ACESSORIOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"teste1";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000001";"Produto";"Blusas diversas";14.40;25.00;0.00;0.00;"Unidade";"Não";"";"";"Sim";0.000;0.000;"";"";"";"";"";"Mercadoria para Revenda";"";"NACIONAL";"";"";"";"";"";"";0.00;0.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000002";"Produto";"BERMUDA JEANS MASCULINA SANTOS";45.00;90.00;0.00;0.00;"Unidade";"Não";"";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA JEANS MASCULINA SANTOS";0.00;90.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000003";"Produto";"BABY DOOL";10.15;25.00;0.00;0.00;"Unidade";"Sim";"ADULTO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BABY DOOL";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000004";"Produto";"BERMUDA JEANS MASC RN";27.50;35.00;0.00;0.00;"Unidade";"Não";"JEANS";"";"Sim";0.000;1.000;"RN";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA JEANS MASC RN";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000005";"Produto";"BERMUDA  MASC JOGADOR LUCAS";20.00;39.90;0.00;0.00;"Unidade";"Não";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"LUCAS";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA  MASC JOGADOR LUCAS";0.00;39.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000006";"Produto";"BERMUDA MASC JEANS MM";62.83;120.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;19.000;"MUITO MAIS";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC JEANS MM";0.00;120.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000007";"Produto";"BERMUDA MASC BRIM";15.50;20.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC BRIM";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000008";"Produto";"BERMUDA MASC CROSFIT";18.00;30.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC CROSFIT";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000009";"Produto";"BERMUDA MASC FLORAL";28.90;45.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC FLORAL";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
